% # columns="iteration, evaluation, void, void, void, xmean", seed=988655, Wed Apr 19 12:57:32 2023, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 8 0 0 0 6.218617101637116 4.449085376890846 -155.36640943066385 131.92341635279402
2 16 0 0 0 6.949288635055986 4.896707946343303 -155.23784150854925 131.22378100005196
3 24 0 0 0 6.731533705517399 5.015188134404081 -155.2755247939253 130.86551165804875
4 32 0 0 0 6.920807095234804 5.265822855854383 -154.71783690312705 131.70639965396163
5 40 0 0 0 6.669338033532044 4.8876554674508625 -155.2185546225407 131.64565378522332
6 48 0 0 0 6.602746234970443 5.397528726617463 -154.73507568664513 130.9627671099687
7 56 0 0 0 6.323510591508757 5.774908037504415 -154.3232543482906 130.92660317315026
8 64 0 0 0 6.52401205389549 5.2077639334647605 -154.16251123851325 130.62473668085082
9 72 0 0 0 6.7920433675247365 4.557066799921194 -154.42830206541853 130.6861060325723
10 80 0 0 0 7.027344119619042 4.506321293901792 -154.44760084071495 130.41318785280055
11 88 0 0 0 7.144266498643253 4.0762364354908565 -154.84344201907774 130.66225584054135
12 96 0 0 0 6.934340406566779 4.4903768463778455 -154.9882930610199 130.29799330492966
13 104 0 0 0 6.959802324282803 4.781670060702188 -154.97623989535748 130.3378601522843
14 112 0 0 0 6.868193107212311 4.902687331205283 -154.47385409306108 129.49865412815362
15 120 0 0 0 6.852451281757336 4.9042671550566395 -154.19219721852306 129.6802440952056
16 128 0 0 0 6.792689144779581 4.815888161856268 -154.2271028150863 129.72314406107708
17 136 0 0 0 6.835844991405488 4.992100257055738 -153.74161709443067 129.34283104114272
18 144 0 0 0 6.754099841453476 4.9717367115437385 -153.6415637216795 129.59236459995134
19 152 0 0 0 6.890285721099302 4.803160434290493 -153.56104402315458 129.41124930637545
20 160 0 0 0 6.814421267072711 4.971220986066833 -153.74474327605657 129.8068914402229
21 168 0 0 0 6.8042613356452675 5.01380838316427 -154.19139095083614 129.91070071573867
22 176 0 0 0 6.698157521738753 5.137610948274365 -154.480724487594 130.29056654161508
23 184 0 0 0 6.725712673977768 5.113662991926108 -154.54416379454773 130.45490190280913
24 192 0 0 0 6.760691489499139 5.028392150950765 -154.53392246450605 130.19835867203778
25 200 0 0 0 6.772108643487431 5.023365698390972 -154.38018379082635 130.13953760162872
26 208 0 0 0 6.759012180379558 5.022237593322753 -154.47265307545285 130.26485062554724
27 216 0 0 0 6.768331905221823 5.007761894002626 -154.4723921886081 130.25422367269712
28 224 0 0 0 6.768695778784865 5.021404543001726 -154.45218468437488 130.33933694690072
29 232 0 0 0 6.789805859061256 5.010791539704695 -154.6596363473436 130.45412638831723
