ASV_ID	FRA022001CA	FRA022001CAbis	FRA022002BB	FRA022002BBbis	FRA022003GA	FRA022003GAbis	FRA022004MC	FRA022004MCbis	FRA022005KF	FRA022005KFbis	FRA022006TS	FRA022006TSbis	FRA022007LP	FRA022007LPbis	FRA022008DM	FRA022008DMbis	FRA022010KI	FRA022010KIbis	FRA022011RB	FRA022011RBbis	FRA022012GF	FRA022012GFbis	FRA022013ZV	FRA022013ZVbis	FRA022014RD	FRA022014RDbis	FRA022015BF	FRA022015BFbis	FRA022016AS	FRA022016ASbis	FRA022018LS	FRA022018LSbis	FRA022019RX	FRA022019RXbis	FRA022020BF	FRA022020BFbis	FRA022021MP	FRA022021MPbis	FRA022022RH	FRA022022RHbis	FRA022023DC	FRA022025BE	FRA022025BEbis	FRA022026CN	FRA022026CNbis	FRA022027LP	FRA022027LPbis	FRA022028BM	FRA022028BMbis	FRA074002DB	FRA074002DBbis	FRA084001JL	FRA084001JLbis	FRA084005RC	FRA084005RCbis	FRA094001CA	FRA094001CAbis	FRA094002BD	FRA094002BDbis	FRA094003DR	FRA094003DRbis	FRA094004TD	FRA094004TDbis	FRA106001LH	FRA106001LHbis	FRA106003ER	FRA106003ERbis	FRA106004CA	FRA106004CAbis	FRA123001AI	FRA123001AIbis	FRA189001NM	FRA189001NMbis	FRA189002AL	FRA189002ALbis	FRA189004JL	FRA189004JLbis	FRA189005JP	FRA189005JPbis	FRA189010CM	FRA189010CMbis	FRA256001DJ	FRA256001DJbis
d__Bacteria| p__Actinobacteriota| c__Actinobacteria| o__Bifidobacteriales| f__Bifidobacteriaceae| g__Bifidobacterium| s__Bifidobacterium_longum|ffeb435e0154a364df361ec06e478b36	0	0	0	0	0	0	0	0	0	0	0.01695358303148	0.005182010108118	0	0	0	0	0.020245029122314	0.111787039433946	0.002288012202732	0.004106413511425	0	0	0.000401101692649	0.001403454056372	0	0.000390985995593	0	0	0.009010828138015	0.04216400558053	0.017099175216254	0.014038399150618	0	0	0	0	0	0	0.116443503210821	0	0.004836525440124	0.002860902900956	0.023933320103195	0	0	0	0	0	0	0	0	0	0.002789066857917	0.00074892342258	0.000619834710744	0.018696673673798	0.004707023449535	0	0	0	0	0.037002664431339	0.017372342358714	0	0	0.008128503142212	0	0	0	0.029142017707548	0.037360081407181	0.003938432716667	0.002880944949944	0	0	0	0.00247617784263	0.00101232068344	0.003675587816996	0	0	0.005398622621688	0.001876249133254
d__Bacteria| p__Firmicutes| c__Clostridia| o__Oscillospirales| f__[Eubacterium]_coprostanoligenes_group| g__[Eubacterium]_coprostanoligenes_group| s__gut_metagenome|3955a752df40d61ccb0cf1c7151c639b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000314564328405	0.004305158167767	0.058165373669643	0	0	0	0	0	0	0	0	0	0	0.020803083502732	0.019001937090674	0.010083872206928	0.032811776210819	0	0	0.022393112787773	0.003356792737121	0.006112323873784	0	0	0	0	0.000894561068702	0.012523395353958	0	0	0	0	0	0.037927981109799	0	0	0.023482397716461	0.037411359268341	0	0	0	0	0	7.85032055475598E-05	0	0.025439644869387	0	0.023666069586929	0	0	0.015817597343155	0.01718963820133	0	0	0	0	0	0	0	0	0	0.075457845576539
d__Bacteria| p__Actinobacteriota| c__Actinobacteria| o__Bifidobacteriales| f__Bifidobacteriaceae| g__Bifidobacterium|fab0f5719b1de03b332a3c59b2166610	0.003557085484796	0.001438569206843	0	0	0	0	0	0	0.001157914502097	0.003033452237171	0.002203218940214	0.002836244215555	0	0	0	0	0.188230568387226	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013880506940254	0.011295602677913	0	0	0	0	0.01261284333184	0	0.01813772373275	0	0.003724124588895	0	0.029331216511213	0.08792699469725	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027021883920076	0.00182251971635	0	0	0.011346286261713	0.015046338360894	0	0	0.018222405551646	0.010927095782824	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000428282199034	0.035280728376328	0.009299669617
d__Bacteria| p__Firmicutes| c__Clostridia| o__Lachnospirales| f__Lachnospiraceae| g__Roseburia|7b142717c6a1c5b2ece5237e6c1ad02c	0	0	0.004436423791263	0	0	0	0	0	0.001908994179133	0	0	0.007975604034717	0.012366080035253	0	0	0	0.001606748343041	0.047545085857279	0.003975132311817	0.002053206755713	0	0	0	0	0	0	0	0	0	0	0	0.021765417170496	0	0	0	0	0	0	0	0	0	0.020770155060937	0.018932327842826	0	0.021528525296017	0.014266788953429	0.006214149139579	0	0	0.001523461304083	0.017438287411656	0	0.009881265439477	0.001919116270361	0.034031877213695	0	0	0.006736441484301	0.003976406653854	0.052043010752688	0.046265285458369	0	0	0	0	0	0	0	0.002686858817782	0	0	0.028846358546399	0	0	0	0	0	0.003061652798696	0.005688849485602	0.011538857790446	0.01985672013705	0.001984358585269	0.010441734306808
d__Bacteria| p__Bacteroidota| c__Bacteroidia| o__Bacteroidales| f__Rikenellaceae| g__Alistipes|73ae8a803174a38b16764e75635ed44c	0	0	0	0	0	0	0.026597073073273	0.020612327111589	0	0	0.001232308898764	0.003539973983324	0	0	0	0	0	0	0.006055143405209	0.017904846009493	0	0	0.003770355910902	0.001793302405364	0.002555347505232	0.020153550863724	0	0	0	0	0	0	0	0.001400030270925	0	0	0	0	0.014175433802432	0.005094263939029	0	0.001964486658656	0.003373685255011	0	0	0	0	0.002802958015267	0.004899262358252	0.00661182205972	0.003354501690054	0	0	0.008987081070961	0.018506493506494	0	0	0.019847764034253	0.012558817681755	0	0	0	0	0	0	0.016912139373499	0.037391155881851	0.002000148159123	0.021874830375075	0	0	0.009047750835586	0.029169567618179	0	0	0	0.032853573876324	0.007604750499988	0.003767939269685	0	0	0.013131784755457	0.013460048129869
d__Bacteria| p__Firmicutes| c__Clostridia| o__Clostridiales| f__Clostridiaceae| g__Clostridium_sensu_stricto_1| s__Clostridium_perfringens|ad7fcf4c77013cefd1b80baa53bdee09	0	0	0	0	0	0.018707539908303	0	0	0	0	0.000410769632921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176682904667	0	0	0	0	0	0.082235539480979	0.085647080527627	0	0	0	0	0	0.104155938280788	0.003413375669776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000291241938839	0	0.000375848422542	0.01590084195452	0.001385271790325	0	0	0.004960896463173	0
d__Bacteria| p__Firmicutes| c__Bacilli| o__Lactobacillales| f__Streptococcaceae| g__Streptococcus|e8c9f4bbf366c63d51e550ba6cd93506	0	0	0	0	0.145038167938931	0	0	0	0	0	0.002576645879234	0	0	0.004862145527107	0.003112494441974	0	0.130949989957823	0.001466908275088	0.003443573921283	0.000132464951981	0	0.003774771940862	0.000615022595395	0	0.008635312259059	0.0028435345134	0	0	0.004215149297054	0.00578721645223	0	0.006960214704928	0	0	0.020829483354893	0	0	0	0	0	0.000822209324821	0.004195990921401	0.009803532446914	0	0	0.00033119331499	0	0.001550572519084	0.008642518991523	0	0	0	0	0	0	0.006182762458266	0.014006960689222	0	0.000331367221154	0	0	0.002424931892345	0	0.010704194740274	0	0.001989663455706	0	0	0	0	0	0.011517254593064	0.002616858329532	0.009411493546404	0.002288329519451	0	0	0	0	0	0	0	0
d__Bacteria| p__Bacteroidota| c__Bacteroidia| o__Bacteroidales| f__Bacteroidaceae| g__Bacteroides| s__Bacteroides_cellulosilyticus|40a4180b23337bc8167591487dbf99c1	0	0	0	0	0	0	0.001448479096948	0	0	0	0	0	0	0	0	0	0	0	0.002149344796506	0	0.000626506024096	0	0	0	0.001145500605794	0.000533162721263	0	0	0	0	0	0	0	0.001854094142576	0.000237598669447	0.001060787750208	0	0	0	0.00072202166065	0.001789514412846	0.000495889836166	0.002579876959714	0.050067825872487	0.019375672766416	0.060888617140528	0.173358827278521	0.004413167938931	0.002284487504129	0	0	0	0	0.00786369593709	0.010123966942149	0	0	0	0	0	0	0.001107684938479	0	0	0	0.026278116128406	0.006317227249445	0.003629898511001	0.016283992835043	0	0	0.007025312413514	0.015917220848438	0	0	0	0.045521876589065	0.00108639292857	0.000129292033764	0	0	0.008491887475196	0.008035240853285
d__Bacteria| p__Firmicutes| c__Clostridia| o__Lachnospirales| f__Lachnospiraceae| g__[Eubacterium]_hallii_group|f39f0eb9eaae81a0b9b4ca3e4043ff4a	0.006253585771658	0.010069984447901	0.015753064140161	0.010739102969046	0	0.012181653893779	0.002022875980221	0.005147486683676	0.00763597671653	0.004887228604331	0.017737779603421	0.006120316465144	0.017709107934672	0	0.003880512551033	0	0.000160674834304	0	0.005084471561626	0.006534937631085	0.003927710843374	0.002139037433155	0.00930555926946	0.007796966979845	0	0	0	0	0	0.019893556554539	0	0	0	0.01006508248827	0	0	0	0	0	0.002085840352988	0.004933255948926	0	0	0	0	0	0	0.008647423664122	0.004128591874931	0.007404021937843	0.014775171566117	0	0	0	0	0	0	0.006907706945766	0.004904234873086	0.019462365591398	0.011838928265441	0.006226985600096	0.023623478102853	0	0	0.006745444398612	0.019122417619942	0.001629750351878	0.008277696357814	0.003374756818994	0.009449047826719	0.00491771868946	0.003217055194104	0.025814382298709	0.015061368837113	0	0	0.001975259870127	0.001311390628175	0.012294378241011	0.015028811711571	0.003706081475429	0.01264428763715
d__Bacteria| p__Firmicutes| c__Bacilli| o__Lactobacillales| f__Streptococcaceae| g__Streptococcus| s__Streptococcus_parasanguinis|2f794f662c618a022135907b3dd68321	0	0	0.00105271073013	0.000583118713251	0.003611274221961	0.027542585589505	0	0	0.003317268573575	0.001994213970733	0.001419022368274	0.000426502889557	0	0.000758831960878	0.000525486074619	0.001438378555083	0	0	0	0	0.002120481927711	0	0	0	0	0	0.001199538638985	0	0.00083293369343	0.000413372603731	0	0	0	0	0.004540774571662	0.000830181717554	0	0	0	0	0	0.003528446911179	0	0.000534385662022	0	0	0	0	0.001183529670814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240762877635297	0.052283134894675	0.001577172251474	0.005975755506232	0	0	0.000635248342399	0	0	0	0	0	0	0.000950675421724	0.004567788449668	0.004137345080438	0.000652494934579	0	0	0.000530244320268
d__Bacteria| p__Firmicutes| c__Clostridia| o__Lachnospirales| f__Lachnospiraceae| g__Blautia|111bb2b6a6ce5bfe3321f39d51b31dbb	0.008835341365462	0.005598755832037	0.007124595834273	0.007337577141746	0	0.004718717579733	0.004720043953848	0.001387583366904	0.03004318708143	0.0030896272786	0.001717763919489	0.010321369927281	0.022170811644496	0	0	0.0010134030729	0	0.00086288722064	0.012757401372807	0.00728557235898	0.00778313253012	0.001635734507707	0.01738107334813	0.007407118630853	0	0.00085306035402	0	0	0	0	0	0.000648833574188	0	0.001778416830634	0.001346392460202	0.000737939304492	0.00233689736859	0.004889598023573	0	0.002246289610911	0.016589282259625	0.004653735385554	0.008811272077793	0	0	0.001757872210333	0.008975993201615	0.004472805343511	0.003192777716613	0.001858622790981	0	0	0.017106276728557	0	0.000678866587957	0.012761221713862	0.003822673589319	0.002664129400571	0.009112598581748	0.003835125448029	0.005374250331023	0.006646109630871	0.001017626749046	0	0	0.000752189843011	0.005463547891412	0	0.00119415947457	0.004923174653591	0.003169065271115	0.000894130670811	0.000744244112069	0	0	0	0.001613937343857	0.004765314436681	0.006446131397647	0.004327071671417	0.013043139697866	0.029852924010739	0.030387078353795
d__Bacteria| p__Firmicutes| c__Clostridia| o__Lachnospirales| f__Lachnospiraceae| g__Coprococcus| s__Coprococcus_comes|d9ad8f00ccbaff854da1f93fa5791c3f	0.001692484222605	0.000816485225505	0	0	0	0	0.008066530143349	0	0.004381298116042	0.003567115130747	0.007879308413309	0.008615358369053	0.005480734804043	0	0	0.001274926446551	0.011488250652742	0	0.011070281263722	0.008897229274754	0.003084337349398	0.005127398553004	0.003877316362275	0.010019102569101	0	0	0	0	0	0	0	0	0	0	0.001372792312363	0.00454293884328	0.005634163518791	0.016830511091667	0.000341576718131	0.004612916165263	0.009576320371445	0.00493982567565	0.018416352450883	0	0	0.025552838071945	0.021298066709157	0.012344942748092	0.003688208741605	0	0	0	0.021223470661673	0.029582475191912	0.01844746162928	0	0	0.005042816365366	0.007919676585592	0.01168458781362	0.02546927330789	0	0	0	0	0	0.014341813214957	0	0.003555338435651	0.003533568904594	0.00878034598052	0.006748557682073	0.003217055194104	0	0	0	0.002763591342221	0	0	0.0084137504722	0.005918081295748	0.015816505194351	0.007831300730106
d__Bacteria| p__Bacteroidota| c__Bacteroidia| o__Bacteroidales| f__Tannerellaceae| g__Parabacteroides| s__Parabacteroides_merdae|003634bf8fcbec0e1b1b35d1232c490e	0	0	0.023591999398451	0.024879731765392	0.000411039342337	0.000501991231886	0.013261075870336	0.016651000402847	0.000250359892345	0.003173889840744	0.002763359348743	0.006418868487834	0	0	0	0.001438378555083	0.001124723840129	0	0.005800919827128	0.014968539573904	0.00289156626506	0.000723497955332	0.012380672246437	0.00202721141476	0.005022579579249	0.005367171394043	0.006689734717416	0.006006006006006	0	0	0.017501508750754	0.019995871059073	0	0.000681095807477	0	0	0.007714962545618	0.006871171959442	0.004064762945758	0.004532691536302	0.013735732249952	0.004710953443573	0.004405636038897	0	0	0.000382146132681	0.002496282132993	0.001133110687023	0.00162391280414	0.005423522242535	0.003738604937007	0	0.004728132387707	0.002668039692941	0.001239669421488	0.000766662544825	0.000399383807839	0.014557564224548	0.008748094638478	0	0	0.004400802323145	0.003816100308922	0	7.85032055475598E-05	0.00834688083857	0.007000170735872	0	0	0	0	0.009111617312073	0.016421386214679	0	0	0	0.007074793836086	0.008641761931804	0.006834007498938	0.001888801126412	0.009850490577792	0.000496089646317	0.001264428763715
