% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=988655, Wed Apr 19 12:57:32 2023, <python>{}</python>
1 8 0.952238863613926 1.0000375007031337 -36.83945300057065 -3.6839453000570650e+01 -35.163705584397064 -28.34403042074359   
2 16 0.9430445528461705 1.3771997335515607 -37.81081709093431 -3.7810817090934307e+01 -35.491072385436944 -30.046211239645032   
3 24 0.8495122069594758 1.6517489764587574 -37.81081709093431 -3.7782435776308283e+01 -37.46991089114975 -34.90795266518096   
4 32 0.8483555057485093 1.8280113883602076 -37.81081709093431 -3.7588924590630029e+01 -37.095014415953294 -36.746585957091646   
5 40 0.6707390097685308 1.9332945113582607 -37.81081709093431 -3.7766617233974024e+01 -36.95159373257879 -35.2491425972634   
6 48 0.663331933693153 1.8288158182812555 -37.81081709093431 -3.7779600012820396e+01 -37.709216788459834 -37.583921483766304   
7 56 0.6929280517145526 1.9230391772090731 -37.81081709093431 -3.7736824051154493e+01 -37.67350548785047 -37.505032728086576   
8 64 0.6905086958043452 2.56417086520322 -37.81081709093431 -3.7787563764025236e+01 -37.62213783004825 -36.81294664817981   
9 72 0.6934435831864245 2.729786601945529 -37.81081709093431 -3.7749159064098244e+01 -37.558881482600405 -37.32628089788173   
10 80 0.6771807764665793 2.9604880352309837 -37.81081709093431 -3.7762889889518505e+01 -37.60715009186892 -37.346056178867975   
11 88 0.6583048113594016 2.9407651339609395 -37.81081709093431 -3.7731299178105353e+01 -37.57260532761989 -37.2889079652879   
12 96 0.5911852248066857 3.1116385772009023 -37.81081709093431 -3.7783329507027723e+01 -37.5890704239087 -36.97391431902917   
13 104 0.5683850574130376 3.4306666546401208 -37.81323171632501 -3.7813231716325006e+01 -37.71527925382701 -37.52452100013855   
14 112 0.6409772376348285 3.4130459399833524 -37.81323171632501 -3.7785902586595171e+01 -37.74414222622813 -37.58572448322455   
15 120 0.5997756874679391 4.897304877123202 -37.81323171632501 -3.7775900355795663e+01 -37.74224395994133 -37.4214025474197   
16 128 0.5273655433964365 5.383651360057227 -37.81323171632501 -3.7799065860142427e+01 -37.73123251547781 -37.61022892215979   
17 136 0.53176858241392 5.53296218136897 -37.81323171632501 -3.7806328053962304e+01 -37.7346968862711 -37.62403564769051   
18 144 0.4873975712017623 6.748894505286125 -37.81323171632501 -3.7811452300723090e+01 -37.76046346582741 -37.73325748333439   
19 152 0.44322035083753747 6.850928178515869 -37.81323171632501 -3.7804778394661540e+01 -37.79416677316732 -37.74289266860353   
20 160 0.40149187094987204 7.028910613131981 -37.81323171632501 -3.7812110483897705e+01 -37.78812135446166 -37.732925283512564   
21 168 0.40319540794152686 8.093241371018248 -37.81323171632501 -3.7810887749695603e+01 -37.80468880961039 -37.80033505789198   
22 176 0.43595236363086537 8.70167540682828 -37.81323171632501 -3.7811495695612635e+01 -37.80947104585268 -37.798824285157636   
23 184 0.41609567132696323 9.336295648082993 -37.81390032276685 -3.7813900322766848e+01 -37.80749141831792 -37.75889783921205   
24 192 0.349120216666099 10.926326465748497 -37.815634252744964 -3.7815634252744964e+01 -37.80358063521654 -37.78837714862385   
25 200 0.2648474450345075 11.202021992306642 -37.815634252744964 -3.7814372093545842e+01 -37.808269055815046 -37.80118041733648   
26 208 0.2202112013160128 11.639972193337181 -37.81608876664979 -3.7816088766649791e+01 -37.81174452140848 -37.80864817248302   
27 216 0.17352615123882337 13.271259350723852 -37.81608876664979 -3.7815318884021764e+01 -37.813323135910274 -37.81171650522378   
28 224 0.16553272765744842 13.369020410773052 -37.81627076676763 -3.7816270766767630e+01 -37.81486939340602 -37.8135028909028   
29 232 0.19849329827292364 12.64981021493578 -37.8172181102123 -3.7817218110212302e+01 -37.81631267865435 -37.813790842362486   
